Bonmin 1.7 using Cbc 2.8 and Ipopt 3.11


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           282         OPT 759628.95       17 0.027622
NLP0014I           283         OPT 772819.08       19 0.028418
NLP0014I           284         OPT 763726.14       19 0.031756
NLP0014I           285         OPT 772420.69       17 0.03182
NLP0014I           286         OPT 767400.17       21 0.041217
NLP0014I           287         OPT 779132.58       18 0.031856
NLP0014I           288         OPT 767400.17       21 0.041926
NLP0014I           289         OPT 777195.21       21 0.043349
NLP0014I           290         OPT 769552.27       22 0.048041
NLP0014I           291         OPT 778338.83       20 0.03086
NLP0014I           292         OPT 760664.59       18 0.030435
NLP0014I           293         OPT 774326.81       19 0.028388
NLP0014I           294         OPT 760664.59       18 0.028572
NLP0014I           295         OPT 770375.55       19 0.032238
NLP0014I           296         OPT 760664.59       18 0.029951
NLP0014I           297         OPT 769689.85       18 0.03206
NLP0014I           298         OPT 764204.55       18 0.035438
NLP0014I           299         OPT 772936.33       18 0.031147
NLP0014I           300         OPT 767147.94       17 0.030326
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           301         OPT 773873.68       17 0.032901
NLP0014I           302         OPT 770117.14       17 0.0393
NLP0014I           303         OPT 777525.88       17 0.039295
NLP0014I           304         OPT 765292.68       20 0.033992
NLP0014I           305         OPT 784404.78       23 0.033955
NLP0014I           306         OPT 766405.73       19 0.021825
NLP0014I           307         OPT 774200.87       17 0.02731
NLP0014I           308         OPT 766998.56       20 0.031439
NLP0014I           309         OPT 775045.66       18 0.028883
NLP0014I           310         OPT 769514.89       23 0.02982
NLP0014I           311         OPT 774332.48       22 0.037897
NLP0014I           312         OPT 761408       19 0.034668
NLP0014I           313         OPT 776324.95       20 0.033466
NLP0014I           314         OPT 761408       19 0.031484
NLP0014I           315         OPT 773642.78       18 0.032366
NLP0014I           316         OPT 761408       19 0.028021
NLP0014I           317         OPT 775399.14       19 0.025596
NLP0014I           318         OPT 765723.74       19 0.030019
NLP0014I           319         OPT 772657.82       17 0.028743
NLP0014I           320         OPT 768734.68       18 0.028882
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           321         OPT 777616.51       17 0.028643
NLP0014I           322         OPT 768734.68       18 0.033281
NLP0014I           323         OPT 776726.5       20 0.027413
NLP0014I           324         OPT 771815.85       17 0.030229
NLP0014I           325         OPT 780084.57       18 0.028296
NLP0014I           326         OPT 761659.29       17 0.029769
NLP0014I           327         OPT 779058.75       18 0.028469
NLP0014I           328         OPT 761659.29       17 0.027315
NLP0014I           329         OPT 775226.57       20 0.035193
NLP0014I           330         OPT 761659.29       17 0.026156
NLP0014I           331         OPT 773705.04       19 0.030099
NLP0014I           332         OPT 761659.29       17 0.028098
NLP0014I           333         OPT 777751.22       19 0.026934
NLP0014I           334         OPT 761659.29       17 0.027497
NLP0014I           335         OPT 776039.92       17 0.026149
NLP0014I           336         OPT 761659.29       17 0.025762
NLP0014I           337         OPT 777201.06       19 0.028402
NLP0014I           338         OPT 761659.29       17 0.025826
